"ISO","Cases_Resistance_All","Cases_Resilience_All","Cases_Reduction_All","Cases_R2_fit_All","Tests_Resistance_All","Tests_Resilience_All","Tests_Reduction_All","Tests_R2_fit_All","Deaths_Resistance_All","Deaths_Resilience_All","Deaths_Reduction_All","Deaths_R2_fit_All","Cases_Peak_DOY","Tests_Peak_DOY","Deaths_Peak_DOY","Stringency_Mean_Cases_All","Stringency_Max_Cases_All","Stringency_Mean_Tests_All","Stringency_Max_Tests_All","Stringency_Mean_Deaths_All","Stringency_Max_Deaths_All","Stringency_Diff_Cases_All","Stringency_Diff_Tests_All","Stringency_Diff_Deaths_All","Stringency_DiffMax_Cases_All","Stringency_DiffMax_Tests_All","Stringency_DiffMax_Deaths_All","Stringency_DiffPreIn_Cases_All","Stringency_DiffPreIn_Deaths_All","Stringency_DiffOutIn_Cases_All","Stringency_DiffOutIn_Deaths_All","Stringency_Diff_MinMax_PreIn_Cases_All","Stringency_Diff_MinMax_PreIn_Deaths_All","Stringency_Diff_MinMax_OutIn_Cases_All","Stringency_Diff_MinMax_OutIn_Deaths_All","Stringency_Mean_Cases_Out","Stringency_Mean_Deaths_Out","Stringency_Min_Cases_Out","Stringency_Min_Deaths_Out","Stringency_Mean_Full","Stringency_Max_Full","Population","Pop_Dens","Country_Size","Median_Age","Aged_65_Older","Aged_70_Older","GDP_per_Capita","Extreme_Poverty","Cardio_Death_Rate","Diabetes_Prev","Female_Smokers","Male_Smokers","Handwashing_Facilities","Hospital_Beds_per_1000","Life_Expectancy","Human_Development_Index","Latitude","Avg_Temp","Power_Distance","Individualism","Masculinity","Uncertainty_Avoidance","Long_Term_Orientation","Indulgence","Most_Trusted","Conf_Government","Conf_Politicians","Conf_Parliament","Conf_WHO","Conf_Universities","Conf_Elections"
"SWE",-0.000102593553791512,0.0223992888863942,0.851407172914334,0.810224918557798,NA,NA,NA,NA,-8.68577629868298e-06,0.0330893721238604,0.982672138622891,0.95439662924869,165,NA,106,58.4834567901235,59.26,NA,NA,61.7266666666667,64.81,9.7877379402832,NA,13.0309478168264,10.5642811501597,NA,13.0309478168264,19.02688336355,40.0117857142857,13.2050085142614,21.8111586452763,59.26,64.81,59.26,64.81,45.2784482758621,39.9155080213904,0,0,48.6957188498403,64.81,10099270,24.718,408579.577635731,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,NA,2.22,82.8,0.933,62.1916255950928,2.1,31,71,5,29,53,78,62.8,0.49011588275392,0.417695473251029,0.56431252132378,NA,NA,NA
"SWZ",-6.60596260528684e-05,0.0250068735709164,0.854906054279749,0.99464336044349,NA,NA,NA,NA,-1.75837209222144e-06,0.0345322552608615,0.980392156862745,0.939482998656018,218,NA,219,63.8982352941176,80.56,NA,NA,63.3382558139535,80.56,2.76267973856209,NA,2.20270025839793,19.4244444444444,NA,2.20270025839793,2.30445978391356,1.64820505253216,3.82524886877828,3.06375581395348,80.56,80.56,80.56,80.56,60.0729864253394,60.2745,0,0,61.1355555555556,89.81,1160164,79.492,14594.7265133598,21.5,3.163,1.845,7738.975,NA,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.588,26.5264654159546,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SYC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.6859333333333,93.52,98340,208.354,471.985179070236,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,NA,3.6,73.4,0.797,4.67216801643372,27.15,64,27,41,52,32,40,NA,NA,NA,NA,NA,NA,NA
"SYR",-4.21469891101803e-06,0.0219684716726099,0.468004338394794,0.997369467048085,NA,NA,NA,NA,-1.89707163565345e-07,0.010234300234783,0.289156626506024,0.878690322358835,237,NA,240,52.8396774193548,62.04,NA,NA,51.8539285714286,62.04,-2.44901267649181,NA,-3.43476152441808,6.75130990415335,NA,-3.43476152441808,-4.91213653413354,-5.95689711664483,-2.7182303820636,-3.77221177944863,62.04,62.04,62.04,62.04,55.5579078014184,55.6261403508772,0,0,55.2886900958466,87.04,17500657,NA,NA,21.7,NA,2.577,NA,NA,376.264,NA,NA,NA,70.598,1.5,72.7,0.536,34.8072757720947,18.75,80,38,53,68,23,34,NA,NA,NA,NA,NA,NA,NA
"TCD",-1.56338855703072e-06,0.0926193297241611,0.967289719626168,0.963946302399207,NA,NA,NA,NA,-1.41240710759784e-07,0.0746728687813401,1,0.944684095365172,137,NA,129,73.6284090909091,87.04,NA,NA,75.7984615384615,88.89,17.7127221899506,NA,19.8827746375031,31.1243130990415,NA,19.8827746375031,39.143104743083,45.2943493889288,22.994522628027,27.3868901098901,87.04,88.89,87.04,88.89,50.6338864628821,48.4115714285714,0,0,55.9156869009585,88.89,16425859,11.833,1388139.86309473,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,NA,NA,5.818,NA,54.24,0.404,15.4602539539337,26.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TGO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.1831730769231,73.15,8278737,143.366,57745.4696371525,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.503,8.60251426696777,27.15,77,20,46,54,9,78,NA,NA,NA,NA,NA,NA,NA
"THA",-1.34154770077435e-06,0.0465756231858189,0.973942759504485,0.858513348489146,-0.0340861361506898,0.0578285784849563,0.988443486576114,0.861896602019523,-2.63610398272618e-08,0.0615194695899456,1,0.943537544990988,89,83,95,72.6845238095238,76.85,72.088,76.85,73.9444444444444,76.85,27.1103848367141,26.5138610271903,28.3703054716348,31.2758610271903,31.2758610271903,28.3703054716348,61.3256866002215,58.6966183574879,36.3301108540582,36.2570313170313,76.85,76.85,76.85,76.85,36.3544129554656,37.6874131274131,0,0,45.5741389728097,76.85,69799978,135.132,516531.820738241,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.755,13.0305905342102,26.3,64,20,34,64,32,45,28.9,0.527292576419214,0.444940476190476,0.518602029312289,0.616066770996348,0.67816091954023,0.556537753222836
"TJK",-1.56348917269069e-05,0.0126563619824128,0.766630901287554,0.840486788811325,NA,NA,NA,NA,-1.97113710076348e-07,0.0790784617559804,0.914893617021277,0.922788516162746,146,NA,134,60.8376842105263,73.15,NA,NA,58.5021052631579,73.15,21.8661408021662,NA,19.5305618547978,34.1784565916399,NA,19.5305618547978,36.7794584040747,37.4215695488722,31.4831934697856,22.2491016001542,67.59,67.59,67.59,67.59,29.3544907407407,36.2530036630037,5.56,5.56,38.9715434083601,73.15,9537642,64.281,148374.200774723,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,NA,NA,72.704,4.8,71.1,0.65,38.8595695495605,2,NA,NA,NA,NA,NA,NA,20.6,0.810251188051595,0.623715124816446,0.758767268862912,0.664109121909633,0.724939299340964,0.78844169246646
"TLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.2442140468227,77.78,1318442,87.176,15123.9102505277,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.625,8.825927734375,25.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TTO",-3.05825475119168e-06,0.126502602333648,1,0.975841489150519,NA,NA,NA,NA,-2.28654560836761e-07,0.0633409981719311,1,0.679797873932295,85,NA,84,81.3810869565217,90.74,NA,NA,75.9980769230769,79.63,18.6585052571753,NA,13.2754952237305,28.0174183006536,NA,13.2754952237305,63.509182194617,58.8087220843672,26.3583685099198,18.2404622441778,90.74,79.63,90.74,79.63,55.0227184466019,57.7576146788991,0,0,62.7225816993464,90.74,1399491,266.886,5243.77824239563,36.2,10.014,5.819,28763.071,NA,228.467,10.97,NA,NA,89.443,3,73.51,0.784,10.4524412155151,25.75,47,16,58,55,13,80,NA,NA,NA,NA,NA,NA,NA
"TUN",-2.62298011493391e-06,0.0685935133348556,0.945806451612903,0.964375350753053,-0.0783416726233024,0.0680969972909784,0.979629411859331,0.929168074083292,-1.15072676010004e-07,0.0442372364487338,0.970588235294118,0.965655949226166,95,82,94,89.5665853658537,90.74,89.8490740740741,90.74,79.2039189189189,90.74,44.7192563756256,45.0017450838461,34.3565899286909,45.892671009772,45.892671009772,34.3565899286909,64.0087771466756,54.5514189189189,51.6120740876582,45.2681249275026,90.74,90.74,90.74,90.74,37.9545112781955,33.9357939914163,0,0,44.847328990228,90.74,11818618,74.228,159220.482836665,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.735,33.7848892211914,16.3,80,38,53,68,23,34,13.8,0.198299319727891,0.145769622833843,0.162576687116564,0.367986798679868,0.494657014822475,0.236168741355463
"TUR",-4.47958476941653e-05,0.0331051453857109,0.739674540237795,0.98971791148831,-0.137845003077214,0.0220824103353571,0.817264977474628,0.906614103060049,-1.23833478025077e-06,0.0324073318239028,0.818077364994255,0.970324836683386,104,98,110,69.4932,77.78,63.5956424581006,77.78,66.9682352941176,75.93,13.5255076923077,7.62795015040825,11.0005429864253,21.8123076923077,21.8123076923077,11.0005429864253,34.7489317073171,29.3738034759358,19.9054641509434,16.3436638655462,77.78,75.93,77.78,75.93,49.5877358490566,50.6245714285714,0,0,55.9676923076923,77.78,84339067,104.914,803887.631774596,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,NA,2.81,77.69,0.791,38.9623527526855,9.9,66,37,45,85,46,49,14,0.621273712737127,0.498633879781421,0.544364508393285,0.491803278688525,0.605809128630705,0.550619834710744
"TWN",-5.47513254838239e-07,0.0819469637228888,0.99079754601227,0.967815922327751,-0.0145785219399538,0.0529347138559913,0.967232137226462,0.942479798124507,-8.3974425588687e-09,0.0893205345857143,1,0.792054930070035,85,81,88,30.2690909090909,31.48,30.351186440678,31.48,31.48,31.48,5.03918465909091,5.12128019067797,6.25009375,6.25009375,6.25009375,6.25009375,4.51509090909091,5.49068493150685,6.08505317324185,6.8028231292517,23.15,23.15,23.15,23.15,24.1840377358491,24.6771768707483,8.33,8.33,25.22990625,31.48,23816775,NA,NA,42.2,NA,8.353,NA,NA,103.957,NA,NA,NA,NA,NA,80.46,NA,23.6009521484375,6.95,58,17,45,69,93,49,30.8,0.493076663289429,0.333333333333333,0.375424304141208,0.62990990990991,0.59782977280434,0.394825268817204
"TZA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9316398713826,50,59734213,64.699,923263.311643147,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.538,6.35556653141975,22.35,NA,NA,NA,NA,34,38,NA,NA,NA,NA,NA,NA,NA
"UGA",-4.80094444808815e-07,0.0197441870679534,0.644808743169399,0.88880162607647,-0.0140087627790528,0.0292233874331177,0.770305676781488,0.908641005190771,NA,NA,NA,NA,155,154,259,83.2591836734694,87.04,83.0028301886793,87.04,NA,NA,17.2695758303321,17.013222345542,NA,21.0503921568628,21.0503921568628,NA,27.5633190118153,NA,21.8267594310452,NA,84.26,NA,84.26,NA,61.4324242424242,65.0867857142857,2.78,2.78,65.9896078431373,93.52,45741000,213.759,213983.972604662,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.516,1.37514632940292,22.8,NA,NA,NA,NA,24,52,NA,NA,NA,NA,NA,NA,NA
"UKR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.1912377850163,88.89,43733759,77.39,565108.657449283,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,NA,8.8,72.06,0.751,48.3705806732178,8.3,NA,NA,NA,NA,86,14,NA,0.280758226037196,0.258467023172906,0.254404510218464,0.474141677531508,0.501315295001879,0.421978021978022
"URY",-5.35447949709347e-06,0.0204966605272253,0.858064516129032,0.940184550271116,-0.0217660591045833,0.0278522263788846,0.837203698999301,0.943561538424966,-1.49695125725194e-07,0.0288113580357552,0.846153846153846,0.919931356347189,87,100,103,62.8845833333333,72.22,61.5181355932203,72.22,61.0757407407407,62.96,23.8471072949947,22.4806595548817,22.0382647024021,33.1825239616613,33.1825239616613,22.0382647024021,50.6051987179487,37.4591975308642,30.9715542876902,26.6331152581153,72.22,62.96,72.22,62.96,31.9130290456432,34.4426254826255,0,0,39.0374760383387,72.22,3473727,19.751,175876.006278163,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,NA,2.8,77.91,0.804,32.5169429779053,18.55,61,36,38,100,26,53,NA,NA,NA,NA,NA,NA,NA
"USA",-9.09984263660586e-05,0.00880194814635012,0.30697274168745,0.984936045605079,-0.184547944860617,0.0286878385069248,0.781722652500881,0.982289693581575,-6.47910226530605e-06,0.0217271093134263,0.737871864217103,0.99144116273439,104,98,109,72.69,72.69,72.69,72.69,72.1362686567164,72.69,14.3214649681529,14.3214649681529,13.7677336248693,14.3214649681529,14.3214649681529,13.7677336248693,42.3326506024096,39.3736550203528,19.2359545454545,21.5510172600684,72.69,72.69,72.69,72.69,53.4540454545455,50.585251396648,0,0,58.3685350318471,75.46,331002647,35.608,9295738.23298135,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.924,45.1857929229736,8.55,40,91,62,46,26,68,37,0.376051126807938,0.295584765756657,0.309644670050761,0.51775956284153,0.51435325903411,0.437330623306233
"UZB",-2.07474340811084e-06,0.0317359704495667,0.404953917050692,0.933754346289141,NA,NA,NA,NA,-8.36590083915662e-09,0.0176429562909518,0.428571428571428,0.828522424102104,107,NA,107,93.242,96.3,NA,NA,92.5226923076923,96.3,37.4397170418006,NA,36.720409349493,40.4977170418006,NA,36.720409349493,54.1784705882353,53.4591628959276,35.1857853107345,34.8668263859046,85.19,85.19,85.19,85.19,58.0562146892655,57.6558659217877,11.11,11.11,55.8022829581994,96.3,33469199,76.134,439609.097118239,28.2,4.469,2.873,6253.104,NA,724.417,7.57,1.3,24.7,NA,4,71.72,0.71,41.3637924194336,12.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.12,NA,41.9018802642822,13.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VCT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,110947,281.787,393.726467154269,31.8,7.724,4.832,10727.146,NA,252.675,11.62,NA,NA,NA,2.6,72.53,0.723,13.2505125999451,26.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VEN",-3.493606665339e-05,0.0159380823634536,0.665304396843292,0.950628842142089,NA,NA,NA,NA,-2.98214129912977e-07,0.0157475061732781,NA,0.985225757490263,249,NA,259,85.3047058823529,87.96,NA,NA,85.6906666666667,87.96,14.3429751131222,NA,14.7289358974359,16.9982692307692,NA,14.7289358974359,19.7136926664939,19.3899915611814,19.7136926664939,19.3899915611814,87.96,87.96,87.96,87.96,65.591013215859,66.3006751054852,0,0,70.9617307692308,87.96,28435943,36.253,784374.893112294,29,6.614,3.915,16745.022,NA,204.85,6.47,NA,NA,NA,0.8,72.06,0.761,6.43293428421021,25.35,81,12,73,76,16,100,NA,NA,NA,NA,NA,NA,NA
"VNM",-8.58857787153117e-08,0.0279546334711223,0.956937799043062,0.450170881585311,-0.00518704981093421,0.0522972219057079,0.996350629342359,0.889495668214704,NA,NA,NA,NA,82,56,223,75.959,96.3,68.2044791666667,96.3,NA,NA,16.95596485623,9.20144402289669,NA,37.29696485623,37.29696485623,NA,37.4108333333333,NA,25.6339514563107,NA,96.3,NA,96.3,NA,50.3250485436893,56.8364130434783,0,0,59.00303514377,96.3,97338583,308.127,315904.101230986,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.694,15.9642333984375,24.45,70,20,40,30,57,35,27.7,0.765885151206252,0.734279918864097,0.756542699724518,0.790766624311732,0.725510204081633,0.694358974358974
"VUT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.7636789297659,83.33,307150,22.662,13553.5257258847,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,NA,70.47,0.603,16.9756345748901,23.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OWID_KOS",-1.36798197823439e-05,0.0453211413526292,0.695915279878971,0.981079123115681,NA,NA,NA,NA,-4.34608495354346e-07,0.0634194391462974,0.952380952380952,0.84111182173975,109,NA,106,92.59,92.59,NA,NA,91.3717073170732,92.59,33.1915112540193,NA,31.9732185710925,33.1915112540193,NA,31.9732185710925,53.4565517241379,54.1474216027875,38.5816444444444,38.8120919324578,92.59,92.59,92.59,92.59,54.0083555555556,52.5596153846154,0,0,59.3984887459807,92.59,1932774,168.155,11494.0025571645,NA,NA,NA,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,NA,42.557445526123,10.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YEM",-1.0098582550615e-06,0.0314169324237986,0.98539176626826,0.9730279385898,NA,NA,NA,NA,-2.99068248178902e-07,0.0301611738071336,0.973094170403587,0.967180787382457,164,NA,172,39.7716417910448,58.33,NA,NA,38.5046280991736,58.33,6.14397405941538,NA,4.87696036754416,24.7023322683706,NA,4.87696036754416,9.80368404456591,7.02402809917355,10.7433736346202,7.95046143250688,58.33,58.33,58.33,58.33,29.0282681564246,30.5541666666667,0,0,33.6276677316294,58.33,29825968,53.508,557411.377737908,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.452,15.6575689315796,23.85,80,38,53,68,23,34,NA,NA,NA,NA,NA,NA,NA
"ZAF",-0.000193875130271803,0.0323186471302497,0.872129185770641,0.939942372225907,-0.265072431119426,0.0146767073494862,0.705188091201169,0.914612214456319,-4.30493406615456e-06,0.0138412074460706,0.769544101519662,0.807139506779091,200,204,214,71.0773684210526,80.56,63.05,80.56,58.6636842105263,80.56,13.1863107287449,5.15894230769231,0.772626518218622,22.6689423076923,22.6689423076923,0.772626518218622,13.1182672974571,-0.943399122807023,17.4327497769848,1.11087315061848,77.78,77.78,77.78,77.78,53.6446186440678,57.5528110599078,2.78,2.78,57.8910576923077,87.96,59308690,46.754,1268526.54318347,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.699,34.5545902252197,18.75,NA,NA,NA,NA,34,63,NA,NA,NA,NA,NA,NA,NA
"ZMB",-2.04091001958447e-06,0.0349671947767797,0.602345415778252,0.856172386289433,-0.0655375226639544,0.0285109299528046,0.678832404760458,0.787741953659323,-1.08790512771027e-08,0.015885143043553,1,0.663114601780976,135,140,117,42.2357692307692,43.52,41.082,43.52,52.6086666666667,70.83,1.42008295625944,0.2663137254902,11.7929803921569,2.7043137254902,2.7043137254902,11.7929803921569,11.9699285228046,27.7242456140351,6.74928774928775,17.5635579710145,43.52,70.83,43.52,70.83,35.4864814814815,35.0451086956522,0,0,40.8156862745098,70.83,18383956,22.995,799476.233963905,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89,0.588,13.1175780296326,21.4,NA,NA,NA,NA,30,42,NA,NA,NA,NA,NA,NA,NA
"ZWE",-9.58088538011389e-06,0.0343129933904706,0.892415730337079,0.881540332882016,-0.110370594769262,0.0183550661741967,0.791099179593199,0.831455464616241,-3.20259932649874e-07,0.0748093843662258,0.966386554621849,0.922442788225006,209,204,227,79.3422388059702,80.56,77.5917204301075,80.56,78.3216981132075,80.56,14.7496189976634,12.9991006218008,13.7290783049008,15.9673801916933,15.9673801916933,13.7290783049008,21.8228270412643,18.7792103083295,18.7667916514986,16.5276981132075,80.56,80.56,80.56,80.56,60.5754471544715,61.794,0,0,64.5926198083067,87.96,14862927,42.729,347841.676613073,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.535,19.0225582122803,21,NA,NA,NA,NA,15,28,2.1,0.489782244556114,0.337741607324517,0.43380376344086,0.741613133476089,0.716397849462366,0.415571284125379
"OWID_WRL",-1.04606164745014e-05,0.00243603193014113,0.0820879487456216,0.604501183489104,NA,NA,NA,NA,-8.43747251039508e-07,0.0108807203193625,0.379975793846285,0.9579968684553,117,NA,103,NA,-Inf,NA,NA,NA,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,NA,NA,Inf,Inf,NA,-Inf,7794798729,58.045,134288891.876992,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4751231527094,41.4215415019763,0,0,45.8939936102236,84.26,38928341,54.422,715305.22582779,18.6,2.581,1.337,1803.987,NA,597.029,9.59,NA,NA,37.746,0.5,64.83,0.498,33.9241704940796,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.8648363636364,61.4603053435115,0,0,61.2424600638978,90.74,32866268,23.89,1375733.27752198,16.8,2.405,1.362,5819.495,NA,276.045,3.94,NA,NA,26.664,NA,61.15,0.581,11.2243161201477,21.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.8430215827338,54.1241328413284,0,0,58.2612297734628,89.81,2877800,104.871,27441.3326849177,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.785,41.1507339477539,11.4,NA,NA,NA,NA,61,15,2.8,0.194556451612903,0.117508417508418,0.126425217974514,NA,NA,NA
"AND",-0.00127198602213162,0.0124672669964139,0.407814407814408,0.939971710343029,NA,NA,NA,NA,-1.13893742315408e-05,0.0980302657056999,1,0.859639848035816,290,NA,291,58.5471794871795,59.26,NA,NA,58.6747368421053,59.26,19.6662348617723,NA,19.7937922166981,20.3790553745928,NA,19.7937922166981,16.090072049163,16.3821836506159,28.2625270807624,26.6260331384016,31.48,31.48,59.26,59.26,30.2846524064171,32.0487037037037,0,0,38.8809446254072,59.26,77265,163.755,471.832921132179,NA,NA,NA,NA,NA,109.135,7.97,29,37.8,NA,NA,83.73,0.858,42.5385990142822,7.6,NA,NA,NA,NA,NA,65,25.5,NA,0.31907671418873,0.412325502213143,0.584008097165992,0.636774417796316,0.477023319615912
"ARE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.7936170212766,44.1121495327103,2.78,2.78,50.0698697068404,89.81,9890400,112.442,87960.0149410363,34,1.144,0.526,67293.483,NA,317.84,17.26,1.2,37.4,NA,1.2,77.97,0.863,24.3448238372803,27,80,38,53,68,23,34,NA,NA,NA,NA,NA,NA,NA
"ARG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.7856133828996,74.1679133858268,11.11,11.11,75.5731629392971,100,45195777,16.177,2793829.32558571,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,NA,5,76.67,0.825,38.4173336029053,14.8,49,46,56,86,20,62,19.2,0.34421768707483,0.232749742533471,0.292674377847879,0.537505548158012,0.637305699481865,0.378273177636235
"ARM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,Inf,NA,-Inf,2963234,102.931,28788.5476678552,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.755,40.0800037384033,7.15,NA,NA,NA,NA,61,NA,24.9,0.311271975180972,0.314757481940144,0.327160493827161,NA,NA,NA
"ATG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,97928,231.845,422.385645582178,32.1,6.933,4.631,21490.943,NA,191.511,13.17,NA,NA,NA,3.8,77.02,0.78,17.0830564498901,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",-1.67624311658552e-05,0.0337802104925235,NA,0.882835201934655,-0.00674351955109599,0.0294400628227214,NA,0.922227629585846,-6.65101143021021e-07,0.0778234604289609,1,0.963799662962221,211,206,234,66.8797580645161,79.17,66.925503875969,79.17,68.2065,79.17,9.2763075852829,9.32205339673576,10.6030495207668,21.5665495207668,21.5665495207668,10.6030495207668,4.52874111536358,1.09487837837837,24.325392985151,18.5240141242938,28.71,28.71,79.17,79.17,42.5543650793651,49.6824858757062,0,0,57.6034504792332,79.17,25499881,3.202,7963735.47782636,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.939,32.4004878997803,21.65,38,90,61,51,21,71,48.5,0.386035582410205,0.283316549177576,0.381144781144781,0.607621009268795,0.609698202780604,0.547811447811448
